Star,V,B,B-V,
38219,9.656,9.687,0.031,0.0219896907
38221,9.466,10.014,0.548,0.0210103093
2853:852,10.09,11.15,1.06,0.0242268041
38229,8.472,8.532,0.06,0.0158865979
2853:61,11.21,12.298,1.088,0.03
2853:1140,11.21,11.551,0.35,0.03
38237,8.98,8.982,0.002,0.0185051546
2853:460,11.13,12.176,1.046,0.0295876289
38243,8.52,8.521,0.001,0.0161340206
38244,8.46,8.468,0.008,0.0158247423
38248,8.33,8.324,-0.006,0.0151546392
38254,7.92,7.932,0.012,0.0130412371
38255,8.8,8.86,0.06,0.0175773196
38256,9.3,9.353,0.053,0.0201546392
2853:1178,10.96,11.914,0.954,0.0287113402
2853:1628,10.97,11.982,1.012,0.0287628866
38271,8.26,8.27,0.01,0.0147938144
